Series Name,Series Code,Country Name,Country Code,1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Barbados,BRB,41.6860367188816,43.2358228468704,40.9723358978556,38.9859971028489,42.9584047359402,41.6867469879518,44.8147663306716,45.9685267697729,43.7290702221709,43.6861592671534,42.6577740302643,38.9255609189223,37.9318163176029,39.287685115451,40.9257725316828,40.0151662643733,40.0511900121642,36.5355064781905,35.7530937568935,35.5248066264005,36.4821336338451
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belarus,BLR,59.2033413701759,69.2108213448948,66.7476067360771,63.6275159440361,65.156379906358,67.8863333586708,59.7978087236099,60.0613117690842,60.9430527153212,60.9377552183976,48.8764618241933,51.3728853529564,78.4653615193087,78.7769072783938,58.3335781066769,54.941113689671,58.0102324546769,62.5093471231924,66.7899156485229,70.4545454545455,65.0944096428465
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belgium,BEL,64.5630595160862,72.5473951580567,71.6119589202939,70.8312976956765,69.0365085088844,70.906277447218,74.2828289213953,76.8049970552189,78.3018047028263,80.8806199752035,68.8340037082276,75.8500644792464,80.6973629124622,80.4044905064987,79.3243484015476,79.801009073623,77.8052821516798,79.4296154739536,83.1824102499921,83.0796294670067,82.3971992752511
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Belize,BLZ,45.1794871794872,43.7275985663082,42.2184006878762,43.9983779399838,44.9152542372881,42.6052536883771,46.1170030790284,52.1189120809614,50.8844339622642,54.1353383458647,45.6411782207676,50.9347138337647,57.1035998900797,59.7740409879138,56.1714708056172,55.4957904583723,51.1648948201764,46.9116670356431,49.3657042869641,51.0799136069114,51.2518104696876
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Benin,BEN,23.0095307947819,20.6053025489554,19.8685788115524,19.726610778332,18.6442972500831,18.5135475659125,18.483639980467,18.057925712964,22.0428531154363,22.14072026628,19.9279668393882,23.0720480670551,20.8496515031216,23.8967368670133,27.570565319312,31.4308411236325,24.7204512110389,27.6067880711982,27.2055947818832,27.2742306189085,29.6305271935478
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,50.7949927394964,52.5392419809555,50.5125436879565,51.6131910947459,51.1612432078139,49.9708394613543,49.3300565760921,48.5381492501872,51.4791563825902,51.7434243981752
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bhutan,BTN,32.6549090148802,30.3942102191196,27.1358734702224,24.6140541985654,26.2891518430741,31.9438827280808,39.3023404705545,55.8338446782829,56.2757559960078,50.0031947316526,45.8156747029841,43.4806924237471,42.2049152810839,39.6473523128011,41.4302253684447,37.4519506597056,34.4356493984662,29.6169744797177,30.0831893767679,30.8177060148869,33.9390638133457
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bolivia,BOL,16.8808993524959,18.2747449737713,19.972149230267,21.6344550841802,25.6007344519017,31.1383905185998,35.5481429306567,41.771714268103,41.7956567530236,44.9065559925589,35.7226248254274,41.1874561416131,44.0917018533308,47.1661966249317,44.0924795250944,43.2930879909317,30.8682960291245,24.4880055394464,24.9041443675799,25.9887950588635,24.9672622840166
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bosnia and Herzegovina,BIH,27.6439467786027,21.883818745472,22.0687196480326,19.1260121626731,20.5879852303156,22.5362423993153,24.3164228910803,26.2583452015481,27.1015554443826,26.8480689241931,25.0093787853569,29.6955421868204,32.0359718110398,32.3505414379409,33.7430468198782,33.9891201082484,35.1148757547467,35.9087095400508,40.3244111550865,41.9845635628313,40.0400711149533
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Botswana,BWA,55.1972682896055,51.8318100701299,48.6576082380348,52.1574267782427,48.8268578340104,49.6137877815052,52.9235535447696,51.7808267603935,56.479962927168,46.946904660995,35.8336618587618,42.1443315144427,44.2363979167201,48.11502383229,61.3797617461963,61.2829678934065,53.0908973428197,54.6113547604529,42.9200424885539,44.2281439237392,37.0878176661963
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brazil,BRA,9.5648982609794,10.1880480043795,12.37171066993,14.2305902713775,15.1807837086861,16.5457615119353,15.2438292672646,14.3743163003006,13.327675103099,13.5340005124035,10.851371134098,10.8655847746965,11.5825126759958,11.8775390673678,11.7422306432624,11.0119428225147,12.9001914177405,12.4666790443888,12.5189678700669,14.6349994952986,14.1229191903622
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Brunei Darussalam,BRN,55.8163396178017,67.3543319201318,69.5253059297448,67.1218302942605,69.289251837004,68.7990469672454,70.1684471590321,71.7246979556453,67.8527507652301,78.2992366861295,72.7831762889702,67.407469234885,69.5060721795477,70.1612686589168,68.0418746411061,68.1770804483096,52.2105973675329,49.5769062738125,49.5732416988601,51.93227637834,57.946040538108
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Bulgaria,BGR,42.7497878044332,36.218856756011,34.8813174225009,33.6473037196123,34.4169458788193,40.9566402727565,42.5295657507757,46.9778786308931,52.3550343456585,52.4776590469711,42.2188500872454,50.1076362184687,58.802948250642,60.3537392445518,64.5816957844561,64.6008871673555,63.8000873997926,63.8704805492615,66.9945956439964,65.6958529144087,63.9339174577794
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Burkina Faso,BFA,8.35400550573099,8.8447174852677,9.0440827674193,8.86536563219181,9.22043165840572,10.8815873012951,9.84184747809064,10.9568635027021,10.3485422167992,10.1493270523848,13.7889708614234,20.5158488554008,26.1955005196271,26.5980854179657,27.0769854530325,26.932004154154,26.1076455357024,25.915964804251,26.4523856350501,28.0789061419219,27.6161121175574
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Burundi,BDI,7.57575757575758,6.3189705942566,5.17920216470328,4.68580418118256,6.38141402548028,6.95274828690709,6.20000016552948,7.3,6.80000013631119,10.5000002616241,6.60000027378395,9.70000163931346,8.80000028373483,9.69609531952923,9.09525606883305,8.6960211937924,6.41727356534236,6.38452218976084,6.02657432870477,5.6856543143069,5.17203999926172
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cabo Verde,CPV,20.9759456250155,27.0072185431265,29.80941288281,32.5449567130458,31.3643511669509,32.004173065871,37.7773604608664,45.1322052608015,33.7458980966483,34.3404537542843,29.037829627441,30.2838226775205,32.8742610267506,37.4634532272165,37.5168385673901,37.2482924821867,41.1354523359312,41.4729487181747,42.0688035837608,45.865993464408,46.751114388992
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cambodia,KHM,40.5441861783592,49.8462352302926,52.5412471838371,55.422133135624,56.5204703497263,63.6058950058242,64.084707255092,68.5932451239154,65.3259680507156,65.5432507028063,49.2207635019252,54.0827827917917,54.0807559141027,57.8897645349003,62.3879357989172,62.6034741724131,61.7184237585908,61.2815249294976,60.6819578072322,61.5957275117758,61.0912965228197
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cameroon,CMR,19.4286005669288,24.8568127317047,25.2612172490423,22.9861583659013,19.4369114585916,20.5475737052101,22.2454563987642,24.1790940595418,26.9786418037725,27.0083654700407,19.5824152847611,22.3688902974889,24.2296866232667,23.876723843469,23.6391086681711,23.6099755331598,20.9891496294213,18.9499787559649,18.3510985830022,18.7362534690181,19.8500907473186
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Canada,CAN,41.8611849983679,44.209235821106,42.0399550909321,40.0586585930818,36.8659851985508,37.3277713060483,36.8567073235071,35.4024592168513,34.229555163977,34.3950055520687,28.5158343165743,29.1673819330319,30.6783919173107,30.3530255225878,30.3319386683867,31.7365758733408,31.8499609634443,31.5025724093362,31.4544101509781,32.3254037264858,32.3526958202565
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.0218172352361,71.587849045473,69.4710256634634
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Central African Republic,CAF,19.2236502785935,20.3722135905975,17.1572538375263,15.96270493648,18.2360038377682,13.997917508823,13.3627533256972,14.3160051485309,14.1153274204234,11.0036647020449,9.84164990187971,11.6258010719319,13.127820098599,11.5501330018626,14.9729547921906,16.6757875879937,17.0676606236635,14.8218796578137,17.2597737600181,15.9400300007701,15.7553800018083
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Chad,TCD,18.3181207710371,16.8900964319303,14.6657875448771,12.6899405964434,24.6329669069481,51.0088580567156,47.977274188704,47.5844412158485,44.5034938577556,42.694505409321,35.1383528798525,36.8456059033671,38.8772569320241,38.4680542162362,33.565591667753,34.1613628875217,30.0017608897127,26.2950367647059,33.8729624845644,36.1906824485852,36.7422534363826
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Chile,CHL,28.309113885765,30.1237538780926,31.8473112661696,32.2572203545438,35.0609745308001,39.6857495120642,40.1755720109201,43.8656742009237,45.1298518955866,41.1625607908642,37.1156347956721,37.9039943184914,37.6897802745717,33.8455905043756,32.087463589174,33.0039029664774,29.1910794903954,27.9231581098055,28.3313768341631,28.529044739773,27.8432682037896
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,China,CHN,18.1624767574199,20.893697201735,20.3121457444929,22.6447456738957,26.9807565345137,31.0613375828803,33.8298575659931,36.0350255523532,35.4347985287157,32.6027140173081,24.7498559389238,27.1853327204051,26.5681893451605,25.4925222245396,24.599254436897,23.5100609074235,21.3540798828848,19.5843800536482,19.6922769882201,19.1121035364139,18.4099923154801
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Colombia,COL,18.3465787501541,15.915139715438,15.3871357665009,14.8155696775272,16.5752997117627,16.7707514248023,16.9710437391629,17.7285877506525,16.4331421263646,18.1095951350739,16.4244956875755,16.3408447597691,19.2765050733171,18.8112052836654,18.0864397214368,16.6347491096509,15.6502115094968,14.7171392781975,15.1452897484005,15.8997196775431,15.8680386541241
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Comoros,COM,8.83595307120855,8.83631405886599,8.83626079762981,8.83617675060801,8.83612987853843,8.83602717918231,8.83628108091383,8.83617933267314,8.97534196697091,8.22134722875202,9.31193867197775,9.63890463485355,9.95641544707353,8.94586923883759,9.04838721379907,9.67647217726497,10.1361983069761,10.6728955768962,11.9013164484663,12.909022989086,12.7734606325226
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Congo, Dem. Rep.",COD,23.6356699193136,11.4496120313427,11.987684833486,15.6713428067886,24.0004430362555,22.7295135131027,22.9441827774461,21.7000985286877,39.0719137879801,39.0277992612379,26.8137878113403,41.1111541549661,39.515616667397,30.8030090180745,36.4458613092305,36.8321888510463,27.7255678009959,23.9564422024927,35.250522178686,32.5535282648245,25.8676651007229
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Congo, Rep.",COG,72.2900710687918,80.297147219193,77.4200268515354,81.5164254833959,80.8123655970076,80.5297928332926,75.0050837514178,77.4641294571561,68.4853907202658,73.4029185288145,64.479912106445,68.5280915300939,73.6117327393895,58.0820278199554,52.9343405840282,53.1526619326199,42.7281670012992,44.9994634933708,58.0645475862676,71.0295689513304,73.7922877464661
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Costa Rica,CRI,42.5578657678708,42.9303221800166,40.5085725030293,39.2245352070616,40.6717129184331,42.2076534629626,43.4645223606983,43.3140351086932,40.5821375084213,38.8064606509756,34.6323050259288,32.8294113467273,32.4724708770444,31.6513173356963,30.5916493612524,31.3629152835975,29.9956578647983,31.2600963003845,32.7626831479863,33.7385107761536,34.3253215593308
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cote d'Ivoire,CIV,28.7375016334886,27.7900585628522,27.4698146286317,31.3611614383072,28.7410134063162,30.1412888676199,31.8789802249852,32.8409302336696,30.4909527245864,31.0136690713744,35.4127413052547,33.4995745908321,35.2813763529836,34.982490399286,29.1604026582559,28.1569587651374,27.3532437923476,24.9418624533151,25.4987866021143,22.6941999168587,23.0234557287769
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Croatia,HRV,30.1451638454969,35.0245105358552,37.1090173083004,35.8498086162238,35.5430240575349,36.5304027945988,36.3693312500174,37.56033419475,37.5337667340605,36.050526092029,32.2899090020754,35.6597903832947,38.2231025535487,38.9330483853282,39.7593329923407,42.6887112204611,45.6753545345036,46.8639888925201,49.1107914691605,49.3929449603522,50.5945384549445
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cuba,CUB,14.5374790771003,14.1300293796253,13.2344771860718,11.5270686652476,12.9519347542701,16.0217783943669,21.018043449426,18.7134547274699,20.3363598668348,20.567605659282,17.4597293814433,22.5702648924263,25.103638208436,25.5109993027167,24.1004303416809,22.0839119222377,17.1473494542825,14.9830360074423,14.5512178500996,14.5227386306847,12.2133271454538
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Curacao,CUW,..,..,..,..,..,..,59.4962849609475,63.3906524770353,60.8534420640082,69.4667581954085,60.6840139427977,55.5395332218441,72.0739767251395,79.8777221596261,73.2334834144997,74.9335679073433,67.5149178371431,61.9672374175376,58.6467421570447,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Cyprus,CYP,66.9264571223466,69.9628437276103,68.2088670199269,62.4053120319487,57.7621459324228,56.889798983029,55.6921102559885,53.4357273848067,53.2588980125664,50.0816009783701,48.7221408291604,50.3345258473469,53.4540885760578,55.2783809408715,61.2965904312478,65.9517048728868,70.0173031293258,70.4840522281272,73.8364840623299,74.9673023347764,76.4931313665996
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Czechia,CZE,42.7603315249161,48.0909898172434,48.8565118571175,45.0041286043534,46.728047793977,57.0578398918942,61.813226864735,64.875423442478,66.1007691863238,62.9516480907081,58.3454298084121,65.5430054071382,70.8218671927368,75.6461865650325,76.0583816157677,81.9542745743788,80.5587781149995,79.1070766309635,79.0271394981121,76.9435759590934,73.8797803262645
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Denmark,DNK,39.3484366798101,44.8472655641397,45.5544939498925,45.7044791859005,43.8384088674947,43.9284349569116,47.452125515225,50.7300470194145,51.4825350512378,54.1757974140397,47.1260734604538,50.5229276395878,53.8201489280677,54.6304940173438,54.8288189867113,54.6131394364014,55.418174402012,53.4259805224841,55.0773767829077,56.5598044910739,58.6471822154845
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,156.538300905396,158.374311256779,145.421307480105,103.764025112093,150.098361470494,156.619875027706,166.717746372109
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Dominica,DMA,..,..,..,..,..,..,..,37.0093386986561,35.0862697875557,34.2071440696462,30.2514199166982,35.5680889202223,37.5777109190771,32.5852201281827,38.8256280660027,52.4370621404568,47.3242967417585,44.6311269941253,40.8758761246707,29.1932598071942,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Dominican Republic,DOM,34.9811021074665,35.4978251417642,31.8906200886267,30.724010155589,42.1529981602708,41.1474766418853,28.3311381514539,28.2249162691947,26.7620220119612,23.9067364940618,21.0309281003904,22.6757522059548,24.186975308385,24.583177865511,25.167158727,25.1513905580691,23.7615822994204,23.909379521893,23.6821453426385,23.5514313052003,23.0692820412923
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ecuador,ECU,26.3775416402476,32.1275352850362,23.2227470913006,21.4923738863205,22.5984000546606,24.5543485987149,27.618174102084,30.3330747691276,31.9317679733426,34.1636395532671,25.2491079369784,27.8949559708311,31.121199802252,30.164809271004,28.6382882966079,28.0518541458062,21.2582213779601,19.5047912651498,20.8328178926217,22.6046839884209,23.0483673045907
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Egypt, Arab Rep.",EGY,15.0520156046814,16.2011173184358,17.4797881237803,18.3161784111903,21.7964071856287,28.2299608489594,30.3435468895079,29.9498138254816,30.249731471536,33.0429927414852,24.9568221070812,21.3492458146859,20.5674276128656,16.3969666208873,17.0178456245969,14.2441314553991,13.1838454928598,10.3454639403558,15.0140868185672,17.984655608418,16.6440314510365
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,El Salvador,SLV,24.3964014453133,26.8272702258496,25.0092920568115,25.5130894550755,25.9234207599485,25.9062104819237,25.2665668798476,25.9396783352886,25.5670345496495,26.7405871721015,23.9512044914048,26.9466693264064,28.9817775582263,28.5710611774443,29.7248960481943,29.5528752334192,29.4861730232304,28.4585905008509,29.0297643758665,28.9343737810256,29.9559096080003
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Equatorial Guinea,GNQ,..,..,..,..,..,..,87.4173831312055,82.3256504465367,88.621293972478,89.2243501802952,74.342209937853,85.7584331985967,75.0953126572332,71.9049918240751,67.6533166625479,65.9632885983728,56.6584738218082,51.4128299447575,58.8631052137026,59.6145347244398,51.1307495482003
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Eritrea,ERI,9.53440754918544,9.67062059350866,10.8070403599802,11.7811808402808,6.44232783354792,5.77539898239118,6.16571332006919,6.8995093921478,5.77185258376616,4.42875664923759,4.52862385911089,6.37837659786896,18.1548372567671,..,..,..,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Estonia,EST,69.866107922999,61.6273943170743,61.2519641640865,57.9558790066704,57.1622882965674,61.0793356433405,65.435020060353,63.2667645864486,62.5985727746292,66.3922524308487,60.8643762008331,75.0493161875336,86.6037914150865,86.2077922686801,84.5681702038371,81.8654328816924,77.4354984416443,77.00753773581,75.8098540993405,74.3238978479862,73.884686414146
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ethiopia,ETH,..,..,..,..,..,..,..,..,..,..,..,..,16.6868531997337,13.7672981990263,12.484073558977,11.6416199095703,9.36331359735926,7.81208050267299,7.62936862241418,8.37267586646371,7.9399766087609
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Faroe Islands,FRO,48.7619168679293,51.3355592654424,51.563163399505,49.0637262206328,46.7733947828548,43.7008864630511,42.0449161375912,41.7995282822306,42.1302295627862,45.9747748883304,43.6586534946258,46.7233990636104,52.4344736333497,52.5594793555959,55.4429625707383,53.4142881600509,53.2164924640527,54.5363339704935,56.3647913807999,52.8180066352782,55.6126699317984
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Fiji,FJI,61.2018562701555,65.3864457072474,60.9542796384902,61.8003591739,60.2701091442722,54.2008480535254,54.0674603174603,50.0816794036465,48.6020477564751,57.124778718287,49.4364117251897,57.4344020565171,59.2805929796761,61.1111436965945,56.8734283161838,52.3342755939207,48.8367555799083,46.6472413870702,46.015565038712,47.7487957741689,48.1312778068958
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Finland,FIN,37.6043997604715,42.0310461588074,39.7640844096579,39.1350026265102,37.3208390170611,38.6153768628983,40.2733670538658,43.0742002463895,43.8259066028053,44.9000077214115,36.0809256824047,38.4143975593033,38.900392933262,38.8082790730065,38.0176291228019,36.4814376235518,35.4069588665232,34.8104524683015,37.5495468424797,38.4687872116233,39.8806794019795
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,France,FRA,26.0765353865349,28.5949742490286,28.2658952021844,27.5310502579308,26.1119689746398,26.4688363216607,27.0330510418171,27.9350550901956,27.853257510199,28.1193848563025,24.8355472102672,26.7882998402738,28.4213374764194,29.2030271868495,29.3647378670492,29.666684498073,30.5926223781313,30.2475371833945,30.9486331871,31.7136672102555,31.5920554143668
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,French Polynesia,PYF,4.8674567543193,4.69809149754936,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.556958430367,20.9791687502218,20.127494905812
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Gabon,GAB,59.6125043538837,69.0321767086082,54.2752324798833,52.6088996947807,51.9294344950898,55.0391552768837,60.0086727573886,60.5718165208079,58.528604586134,62.1997120113374,52.1717321839785,57.6634923763037,61.7443721274506,60.9503414381301,57.3574058813271,44.5208923945675,46.0320085043705,44.0353472921111,50.2267539725926,54.2990764910062,51.4310732271996
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Gambia, The",GMB,24.3973610833853,25.7986743189831,21.8207981338634,27.1573845831505,31.0937864451292,20.5947828682591,19.9032907784291,21.0347123388331,18.0329574603162,14.4752001750388,15.7461075261153,14.6678148782972,16.8594044684804,19.8416822348377,18.9791643659006,21.8368954439609,19.59633316034,15.9115118159461,16.7894553936941,21.7264294987761,18.8413979684695
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Georgia,GEO,19.0555929931025,22.9944664162433,24.4613664968535,29.229275751073,31.4557279807569,31.1289353948882,33.2590418986481,32.4708663587118,30.818298438254,28.2633198601303,29.5452018236406,32.9545037944055,34.6877980430713,36.5162906347673,41.7219538979684,39.9344557254852,40.8622366288493,40.7997544368791,46.5276142251531,50.5585276931977,54.8184931411381
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Germany,DEU,26.9592324276031,30.8477115722895,31.8447071170151,32.5925791130602,32.8117129460067,35.713363859767,38.0595723481521,41.4329079108458,43.3227580964574,43.7991902579629,38.1199069398503,42.565473405085,45.0571362806101,46.3071201430804,45.4186778593914,45.6192633128717,46.920738356608,46.0732628543356,47.1630406836519,47.3088591421652,46.6696129860707
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Ghana,GHA,32.0783389537313,48.8022576190038,45.2330164667316,42.6162518930867,40.67904265112,39.3033251214107,36.449216950714,24.6561905230047,24.5250906044049,25.0294572995074,29.2918659785048,29.4767179831573,36.9366085502594,40.3592181740371,25.4407833967285,28.2319017691896,33.8317049892785,31.1932394892801,33.8768744319153,33.4548958825786,37.4495994213844
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Greece,GRC,19.2560788828189,23.7183809477501,22.7887439174771,20.1128547276336,18.5445828726114,20.7081146865937,21.3122306069205,21.1740089927196,22.5202697339856,23.3615690275965,18.9821868205149,21.7981021490645,25.4897748402871,28.7425794655455,30.2072069848421,32.48559818352,32.1271612438756,31.2874562644429,35.0340942348023,38.9929061011015,40.1099326212275
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Greenland,GRL,..,..,..,..,37.7958046861305,39.2867282735124,41.0606593287719,37.8031157331997,36.202264989018,36.9791298751246,30.7311174683694,34.0559738599233,37.9979322930038,37.5119902093739,37.7008521502702,38.4728230205003,37.5798451272169,40.765047712594,40.692233747059,44.4545789045455,41.0427004962382
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guam,GUM,..,..,..,21.2728344136712,17.6800224152424,21.8661152752649,22.6916686446713,23.7140160453044,22.8564930634524,20.8887934735938,17.3570836785418,17.0943624974742,18.6195826645265,19.0693257359924,19.5036117799593,18.8413547237077,18.0720813933437,18.9628876461617,18.9755529685681,19.2371202113606,22.0389569588439
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guatemala,GTM,19.0049241253611,20.1950343956927,28.6635482851857,26.7262767971618,26.1810997164793,27.4194097089723,25.454901513817,25.3398334344627,25.9805176037841,25.1243459208619,24.3678264820599,26.2254643341594,27.0677057848772,25.267092636425,21.9981553963722,21.7443629245636,19.8299076925978,18.7530892947864,18.4950463014753,18.1693265265636,17.6119761529528
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guinea,GIN,21.6395182620822,24.5238730443766,28.5786627531762,26.4778105826218,25.9567433485115,24.6259751804795,34.785653087248,23.8243111628192,23.5509581400425,21.6404645816144,22.5157910775743,30.3412039763105,32.6022412272857,33.1373915984787,26.4706206459562,26.6885101438552,21.4968703899218,29.3715113131113,44.6602984531034,40.207095532907,35.0420493356393
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guinea-Bissau,GNB,24.8611766470287,21.7558574111665,21.1945992940481,17.8331205708016,18.6798108907565,18.4598915805643,16.1497305470476,12.8486662552065,20.191035630237,19.850608604922,18.8493377356219,14.906079450198,25.6740075016207,15.4752133462098,18.2571916032992,20.2074001359927,27.5430439150609,26.5081142999537,27.7739726207238,25.2760949743129,20.2879496621221
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Guyana,GUY,96.5084717132055,96.0799732120736,92.8742833412542,92.3031854232478,89.6766919563527,95.5626731827216,84.6228685715672,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Haiti,HTI,12.2491119646519,7.35798043095108,7.02577509040032,6.28442945145109,9.27243553419229,8.37501272580507,8.60730924621214,9.0211680658731,8.44368932357576,8.79139007219812,8.91611581819929,8.57028815816493,10.0831141595227,9.65509365703807,10.5162857563163,10.9748356209437,11.7677469841071,11.6019709419147,11.0034703388328,10.780822594633,10.5576734343188
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Honduras,HND,52.9289434584401,53.972182998888,51.3817002306282,52.730582054494,54.0940274951722,58.4229834527808,59.0058417153113,56.0546420538277,53.5090115392915,51.3252766875914,39.5302508197518,45.7589061967483,51.2576866755535,50.9027988216362,47.9414903194725,47.5626547300206,45.1667574562581,42.7141047814182,43.0938548370178,41.4548165613247,39.9185126725089
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,"Hong Kong SAR, China",HKG,112.718574496907,126.031457172742,122.769694703522,132.076763164041,150.775979991549,167.775897168379,177.45291670355,185.185163012497,186.412407406061,193.415176806617,178.135055401704,205.322597352297,212.852416474103,215.849565476503,221.610060304774,213.090413516784,195.89760161449,187.005128888725,188.902399636639,188.339507002291,177.651315174364
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Hungary,HUN,55.6436554579462,66.8578897770738,64.8773208127959,58.1369735753857,56.344348155367,59.5622589212091,62.5151947562125,73.7805883647303,77.8195648199678,79.1809186837228,74.2242534682997,81.107304239429,86.0776968359815,85.8794009552351,85.4108225108653,87.1234667634739,87.5264509328171,86.4047382876954,85.919564059938,83.7553158559384,81.5297406120423
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Iceland,ISL,32.4569602044965,32.129906349249,36.9408109763074,35.5152001018962,32.6221430306214,32.4099789513317,30.3583868009756,30.4055619713608,32.8401013599868,40.300402396443,48.7198050779344,51.7462338383325,54.5455362550712,54.9260547223621,53.2477515083307,51.5190979483341,51.6517214467662,47.4840362948306,45.7322400076772,46.0467623881339,43.6728526585664
